S.No,Country,City,Company,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,CONTACT,Google Map,Category,Reviews,Comments,Standard_Category,Conversion_Probability,Rank,Reviews_Normalized,Comments_Normalized,Lead_Score,Final_Score,Company_Name_Length,Company_Word_Count,Category_Frequency,City_Frequency,City_Encoded,Category_Encoded,Predicted_Probability,,
36,India,Delhi,Essar Coaching Centree,,,,,9213297042,"https://www.google.com/maps/place/ESSAR+COACHING+CENTREE/@28.6806479,77.2850787,17z/data=!3m1!4b1!4m6!3m5!1s0x390cfc8e10110f0f:0x42d99e30543872cc!8m2!3d28.6806479!4d77.2850787!16s%2Fg%2F11bxfkzdvh?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",Caoching Center,4.8,68,Coaching Center,0.85,2,0.96,0.55031726,0.75515863,0.812063452,22,3,41,26,1,0,0.8122906,,
37,India,Delhi,Aim & Achieve,,,,,8826590321,"https://www.google.com/maps/place/Aim+%26+Achieve/@28.5700768,77.2198324,17z/data=!3m1!4b1!4m6!3m5!1s0x390ce3dc5b722379:0x274eee36804b578c!8m2!3d28.5700768!4d77.2198324!16s%2Fg%2F11hzst_3f7?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",Caoching Center,4.5,579,Coaching Center,0.85,2,0.9,0.827018448,0.863509224,0.85540369,13,3,41,26,1,0,0.85490096,,
38,India,Delhi,Gaba Coaching Center,,,,,9810217920,"https://www.google.com/maps/place/Gaba+Coaching+Center/@28.5992141,77.0791372,17z/data=!3m1!4b1!4m6!3m5!1s0x390d1b4820809959:0x59280b9b7b0e4f33!8m2!3d28.5992141!4d77.0791372!16s%2Fg%2F12hpm5f49?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",Caoching Center,4.8,68,Coaching Center,0.85,2,0.96,0.55031726,0.75515863,0.812063452,20,3,41,26,1,0,0.8121052,,
39,India,Delhi,Aspiration Coaching Class,,,,,9999806981,"https://www.google.com/maps/place/Aspiration+Coaching+Class.Tuition(Center)%26+Home+tuition.+Nios+Tuition+Is+Also+Available./@28.6517388,77.232071,17z/data=!3m1!4b1!4m6!3m5!1s0x390cfd5e4d819e39:0x8338e35dfe2c23c7!8m2!3d28.6517388!4d77.232071!16s%2Fg%2F11g1hkbn1_?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",Education Center,5,114,Training Center,0.85,1,1,0.616710525,0.808355263,0.833342105,25,3,74,26,1,10,0.83271575,,
40,India,Delhi,Pooja Coaching Classes,,,,,9971420655,"https://www.google.com/maps/place/Pooja+Coaching+Classes/@28.664492,77.28263,17z/data=!3m1!4b1!4m6!3m5!1s0x390cfc834cc42851:0xcdbb6cbab80552!8m2!3d28.664492!4d77.28263!16s%2Fg%2F11srv96mvd?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",Caoching Center,5,11,Coaching Center,0.85,2,1,0.322969443,0.661484721,0.774593889,22,3,41,26,1,0,0.7740017,,
41,India,Delhi,ASA Computer Institute JK SIR,,,,,9711004043,"https://www.google.com/maps/place/ASA+Computer+Institute+JK+SIR+-+Computer+course+,+Basic+Computer,+Tally+Prime,+Excel,+Typing+Professional/@28.6682291,77.1837684,17z/data=!3m1!4b1!4m6!3m5!1s0x390d03cbc6edbd65:0x5a54d19b35db0fc1!8m2!3d28.6682291!4d77.1837684!16s%2Fg%2F11sr0vxr4p?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",Training Center,5,520,Training Center,0.85,1,1,0.813075254,0.906537627,0.872615051,29,5,74,26,1,10,0.8735099,,
42,India,Delhi,Alfa Computer Centre,,,,,8447464629,"https://www.google.com/maps/place/Alfa+Computer+Centre/@28.6341408,77.2833185,17z/data=!3m1!4b1!4m6!3m5!1s0x390cfcabc77d08f7:0x9166bd535482e7a5!8m2!3d28.6341408!4d77.2833185!16s%2Fg%2F11b6py_cjh?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",Computer Training School,4.8,91,Training Center,0.85,1,0.96,0.587708008,0.773854004,0.819541602,20,3,74,26,1,10,0.82209045,,
43,India,Delhi,INFOTECH SOFTNET: Computer Institute Accredited by NIELIT,,,,,8826708404,"https://www.google.com/maps/place/INFOTECH+SOFTNET:+Computer+Institute+Accredited+by+NIELIT/@28.6249518,77.0678438,17z/data=!3m1!4b1!4m6!3m5!1s0x390d04b43082f927:0xd8200840f0e7661a!8m2!3d28.6249518!4d77.0678438!16s%2Fg%2F11c60crn3b?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",Education Intstitution,4.5,242,Training Center,0.85,1,0.9,0.713946736,0.806973368,0.832789347,57,7,74,26,1,10,0.83339405,,
44,India,Delhi,ACTC Computer Education,,,,,9313625773,"https://www.google.com/maps/place/ACTC+Computer+Education/@28.5758014,77.2559767,17z/data=!3m1!4b1!4m6!3m5!1s0x390ce371d48f5825:0xe3be0065c3c1d9be!8m2!3d28.5758014!4d77.2559767!16s%2Fg%2F11vlvpkbkv?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",Education Center,4.7,250,Training Center,0.85,1,0.94,0.718156739,0.829078369,0.841631348,23,3,74,26,1,10,0.84099895,,
45,India,Delhi,Corporate Training Computer Institute,,,,,9911996339,https://www.google.com/maps/place/Corporate+Training+Computer+Institute/data=!4m7!3m6!1s0x390ce1a4862aa76f:0x1e7e203d7d715198!8m2!3d28.5033102!4d77.2318254!16s%2Fg%2F11f_j23hq3!19sChIJb6cqhqThDDkRmFFxfT0gfh4?authuser=0&hl=en&rclk=1,Software Training Institute,4.8,215,Training Center,0.85,1,0.96,0.698638185,0.829319092,0.841727637,37,4,74,26,1,10,0.8401759,,
